id,iiif_url,width,height
19,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/86/41/26/86412678419072262026710893732919211959.jp2/info.json,8263,6598
20,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/78/00/147800115395921428279436601645003452232.jp2/info.json,8217,6379
21,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/42/99/24/42992406900904401255870836431344569231.jp2/info.json,8274,6647
22,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/55/84/89/55848984413619174984707815840820161068.jp2/info.json,8260,6590
23,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/00/23/130023881098418971611407068401616772663.jp2/info.json,8258,6592
24,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/23/32/33/23323347833887738802459919888884629818.jp2/info.json,8237,6614
25,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/17/00/101700815828374242273897283213566127964.jp2/info.json,8258,6575
26,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/43/38/104338836001008890147493087005681032812.jp2/info.json,8276,6595
27,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/70/21/107021555421192973298251508205222572196.jp2/info.json,8250,6595
28,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/50/51/96/50519645863747518733439248206575095898.jp2/info.json,8281,6595
29,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/31/91/163191349899055809679197001724551811939.jp2/info.json,8249,6606
30,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/65/57/08/65570812730491233383366846071086429882.jp2/info.json,8245,6578
31,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/78/74/107874565847720528127920862069417496042.jp2/info.json,8271,6621
32,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/64/45/126445474887214780525945054283298470616.jp2/info.json,8251,6601
33,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/19/64/161964409202118428693642549753908649144.jp2/info.json,8238,6603
34,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/20/78/01/20780157542721254472004544206533691460.jp2/info.json,8258,6608
35,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/72/42/16/72421602778351778235513293477106602118.jp2/info.json,8232,6586
36,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/91/77/25/91772599007474638454151208356506378713.jp2/info.json,8234,6610
37,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/02/55/140255962704929578001153318143379067182.jp2/info.json,8250,6613
38,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/28/01/122801360062135465834742886217823745795.jp2/info.json,8247,6613
39,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/50/72/97/50729721430509715945923249921051322231.jp2/info.json,8252,6576
40,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/46/25/79/46257967215771031111981002865656347489.jp2/info.json,8230,6567
41,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/85/62/39/85623911707211046278696116906175046157.jp2/info.json,8219,6563
42,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/22/39/83/22398311708054874011629236198469070582.jp2/info.json,8211,6560
43,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/67/17/59/67175966718587644780931149118379998564.jp2/info.json,8213,6589
44,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/61/15/34/61153471530086114738514670607282945286.jp2/info.json,8259,6610
45,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/37/45/85/37458531572230000886738082115285416164.jp2/info.json,8268,6595
46,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/28/46/93/28469331805730671914145527591818086309.jp2/info.json,8191,6607
47,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/80/46/91/80469128519259933212599735209921803756.jp2/info.json,8285,6644
48,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/72/06/107206311454391967657830971355860993417.jp2/info.json,8239,6605
49,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/75/08/51/75085194333000385831884036177864901078.jp2/info.json,8241,6554
50,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/45/47/80/45478089980400150596413251678739568635.jp2/info.json,8255,6607
51,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/04/58/160458057397222988950001467983041524234.jp2/info.json,8245,6597
52,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/86/82/91/86829100398088475122925113125699816345.jp2/info.json,8282,6624
53,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/05/14/140514353913292525910957418675591226409.jp2/info.json,8236,6605
54,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/37/78/85/37788587009663080709209208952803313030.jp2/info.json,8248,6629
55,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/04/77/120477960781847554833785956714598665422.jp2/info.json,8173,6576
