oid;purl;iiif
vm817td8667;http://purl.stanford.edu/vm817td8667;https://stacks.stanford.edu/image/iiif/vm817td8667/vm817td8667_00_0001
xw039np9324;http://purl.stanford.edu/xw039np9324;https://stacks.stanford.edu/image/iiif/xw039np9324/xw039np9324_00_0001
vb946jq6084;http://purl.stanford.edu/vb946jq6084;https://stacks.stanford.edu/image/iiif/vb946jq6084/vb946jq6084_00_0001
qp456gj4008;http://purl.stanford.edu/qp456gj4008;https://stacks.stanford.edu/image/iiif/qp456gj4008/qp456gj4008_00_0001
gw986xh2826;http://purl.stanford.edu/gw986xh2826;https://stacks.stanford.edu/image/iiif/gw986xh2826/gw986xh2826_00_0001
tp100bz6619;http://purl.stanford.edu/tp100bz6619;https://stacks.stanford.edu/image/iiif/tp100bz6619/tp100bz6619_00_0001
sw175tz5944;http://purl.stanford.edu/sw175tz5944;https://stacks.stanford.edu/image/iiif/sw175tz5944/sw175tz5944_00_0001
qc523gd5233;http://purl.stanford.edu/qc523gd5233;https://stacks.stanford.edu/image/iiif/qc523gd5233/qc523gd5233_00_0001
wh188dk8506;http://purl.stanford.edu/wh188dk8506;https://stacks.stanford.edu/image/iiif/wh188dk8506/wh188dk8506_00_0001
kq741wk9448;http://purl.stanford.edu/kq741wk9448;https://stacks.stanford.edu/image/iiif/kq741wk9448/kq741wk9448_00_0001
kj336nh8750;http://purl.stanford.edu/kj336nh8750;https://stacks.stanford.edu/image/iiif/kj336nh8750/kj336nh8750_00_0001
vk623dr7656;http://purl.stanford.edu/vk623dr7656;https://stacks.stanford.edu/image/iiif/vk623dr7656/vk623dr7656_00_0001
gy028fk1191;http://purl.stanford.edu/gy028fk1191;https://stacks.stanford.edu/image/iiif/gy028fk1191/gy028fk1191_00_0001
ws325wr0199;http://purl.stanford.edu/ws325wr0199;https://stacks.stanford.edu/image/iiif/ws325wr0199/ws325wr0199_00_0001
dr054zr5417;http://purl.stanford.edu/dr054zr5417;https://stacks.stanford.edu/image/iiif/dr054zr5417/dr054zr5417_00_0001
rx315fn4857;http://purl.stanford.edu/rx315fn4857;https://stacks.stanford.edu/image/iiif/rx315fn4857/rx315fn4857_00_0001
rh352vn8573;http://purl.stanford.edu/rh352vn8573;https://stacks.stanford.edu/image/iiif/rh352vn8573/rh352vn8573_00_0001
ng613ms8905;http://purl.stanford.edu/ng613ms8905;https://stacks.stanford.edu/image/iiif/ng613ms8905/ng613ms8905_00_0001
yw010hy3955;http://purl.stanford.edu/yw010hy3955;https://stacks.stanford.edu/image/iiif/yw010hy3955/yw010hy3955_00_0001
cx198hw6628;http://purl.stanford.edu/cx198hw6628;https://stacks.stanford.edu/image/iiif/cx198hw6628/cx198hw6628_00_0001
kk135yg0170;http://purl.stanford.edu/kk135yg0170;https://stacks.stanford.edu/image/iiif/kk135yg0170/kk135yg0170_00_0001
kv451hv0065;http://purl.stanford.edu/kv451hv0065;https://stacks.stanford.edu/image/iiif/kv451hv0065/kv451hv0065_00_0001
ws583yp5464;http://purl.stanford.edu/ws583yp5464;https://stacks.stanford.edu/image/iiif/ws583yp5464/ws583yp5464_00_0001
kg897jv2642;http://purl.stanford.edu/kg897jv2642;https://stacks.stanford.edu/image/iiif/kg897jv2642/kg897jv2642_00_0001
gh579yg7336;http://purl.stanford.edu/gh579yg7336;https://stacks.stanford.edu/image/iiif/gh579yg7336/gh579yg7336_00_0001
fh984kr1630;http://purl.stanford.edu/fh984kr1630;https://stacks.stanford.edu/image/iiif/fh984kr1630/fh984kr1630_00_0001
sn868ts7051;http://purl.stanford.edu/sn868ts7051;https://stacks.stanford.edu/image/iiif/sn868ts7051/sn868ts7051_00_0001
jz729fx3710;http://purl.stanford.edu/jz729fx3710;https://stacks.stanford.edu/image/iiif/jz729fx3710/jz729fx3710_00_0001
zc982sr3493;http://purl.stanford.edu/zc982sr3493;https://stacks.stanford.edu/image/iiif/zc982sr3493/zc982sr3493_00_0001
bt957tm9201;http://purl.stanford.edu/bt957tm9201;https://stacks.stanford.edu/image/iiif/bt957tm9201/bt957tm9201_00_0001
cn949pt2161;http://purl.stanford.edu/cn949pt2161;https://stacks.stanford.edu/image/iiif/cn949pt2161/cn949pt2161_00_0001
wb891nx4009;http://purl.stanford.edu/wb891nx4009;https://stacks.stanford.edu/image/iiif/wb891nx4009/wb891nx4009_00_0001
fs538jv6645;http://purl.stanford.edu/fs538jv6645;https://stacks.stanford.edu/image/iiif/fs538jv6645/fs538jv6645_00_0001
tn717qh1998;http://purl.stanford.edu/tn717qh1998;https://stacks.stanford.edu/image/iiif/tn717qh1998/tn717qh1998_00_0001
vv800vq6977;http://purl.stanford.edu/vv800vq6977;https://stacks.stanford.edu/image/iiif/vv800vq6977/vv800vq6977_00_0001
sh039dd3025;http://purl.stanford.edu/sh039dd3025;https://stacks.stanford.edu/image/iiif/sh039dd3025/sh039dd3025_00_0001
zp882nc2572;http://purl.stanford.edu/zp882nc2572;https://stacks.stanford.edu/image/iiif/zp882nc2572/zp882nc2572_00_0001
mf580yz8854;http://purl.stanford.edu/mf580yz8854;https://stacks.stanford.edu/image/iiif/mf580yz8854/mf580yz8854_00_0001
qn696wj8411;http://purl.stanford.edu/qn696wj8411;https://stacks.stanford.edu/image/iiif/qn696wj8411/qn696wj8411_00_0001
gr432xg0526;http://purl.stanford.edu/gr432xg0526;https://stacks.stanford.edu/image/iiif/gr432xg0526/gr432xg0526_00_0001
ky748fh3940;http://purl.stanford.edu/ky748fh3940;https://stacks.stanford.edu/image/iiif/ky748fh3940/ky748fh3940_00_0001
sx494pq8019;http://purl.stanford.edu/sx494pq8019;https://stacks.stanford.edu/image/iiif/sx494pq8019/sx494pq8019_00_0001
nr039bd9918;http://purl.stanford.edu/nr039bd9918;https://stacks.stanford.edu/image/iiif/nr039bd9918/nr039bd9918_00_0001
bx547qd9913;http://purl.stanford.edu/bx547qd9913;https://stacks.stanford.edu/image/iiif/bx547qd9913/bx547qd9913_00_0001
xg215xf0137;http://purl.stanford.edu/xg215xf0137;https://stacks.stanford.edu/image/iiif/xg215xf0137/xg215xf0137_00_0001
